title|usage|meaning
～は～が|名詞＋は＋名詞＋が～|主題と主語の提示
～はずがない／はずはない／ないはずがない／ないはずはない|"名詞＋のはずがないい形容詞普通形＋はずがないな形容詞語幹＋な／である＋はずがない動詞普通形＋はずがない
名詞＋で（は）ないはずがないい形容詞ない形＋はずがないな形容詞語幹＋で（は）ないはずがない動ない形＋ないはずがない"|不可能…不会…
～はずだ／ないはずだ|名詞＋のはずだい形容詞普通形＋はずだな形容詞語幹＋な／である＋はずだ動詞普通形＋はずだ|应该…理应…按说…该…怪不得…
～始める／始まる|動ます形＋始める動ます形＋始まる|开始
～ば～ほど／～ば～だけ|動ば形＋動詞辞書形＋ほど動ば形＋動詞辞書形／動た形＋だけい形容詞語幹＋ければ＋い形容詞辞書形＋ほど／だけな形容詞語幹＋であれば＋な形容詞語幹＋である／な＋ほど／だけ（な形容詞語幹＋であればあるほど／であればあるだけ）名詞＋であれば＋名詞＋であるほど／であるだけ（名詞＋であればあるほど／であればあるだけ）|越…越…
～ばいい／なければいい|動詞ば形＋いい動ない形＋なければいい|…就可以…就行…该多好（,但愿…）
～ばかり|①名詞（＋助詞）＋ばかり②数量詞＋ばかり|①只…／光是…②左右／上下
～ばかりだ|動詞辞書形＋ばかり|①越来越…／不断地…／越发…／一直..②只等…
～ばかりで|動詞辞書形＋ばかりでい形容詞＋ばかりでな形容詞語幹＋な＋ばかりで|只…光…净…
～ばかりでなく～も／～ばかりでなくて～も|動詞普通形＋ばかりでなくい形容詞普通形＋ばかりでなくな形容詞語幹＋な／である＋ばかりでなく名詞＋ばかりでなく|不但…而且…不光…还…不仅…也…
～ばよかった／なければよかった|動詞ば形＋よかった動ない形＋なければよかった|要是…的话,就好了要是不…的话,就好了
～ふりをする|名詞＋の＋ふりをするな形容詞＋な＋ふりをする動詞普通形＋ふりをするい形容詞普通形＋ふりをする|假装…（本当はそうではないけど）わざと～のように装う
～ぶり／っぷり|動ます形＋ぶり／っぷり動作性、状態性の名詞＋ぶり／っぷり|…的样子…的状态
～ぶりだ／ぶりに／ぶりの|名詞＋ぶりだ名詞＋ぶりに～した名詞＋ぶりの＋名詞|经过…之后又…时隔…之后又…
～べき／べきだ／べきではない|動詞辞書形＋べき／べきだ／べきではないい形容詞語幹＋くある＋べき／べきだ／べきではないな形容詞語幹＋である＋べき／べきだ／べきではない名詞＋である＋べき／べきだ／べきではない|应该…（べき）不应该…（べきではない）
～べきだった／べきではなかった|動詞辞書形＋べきだった／べきではなかった|当时应该…（べきだった）当时不应该…（べきではなかった）
～別に／別で|名詞＋別に名詞＋別で|按…毎…以…为基准
別に～ない|別に～動ない形＋ない|没什么…不怎么…不特别…没有特别的…没有值得一提的…
～ほうがいい|動た形＋ほうがいい動ない形＋ほうがいい名詞＋の＋ほうがいいい形容詞原形＋ほうがいいな形容詞＋な＋ほうがいい（動詞辞書形＋ほうがいい）|最好是…还是…为好…比较好
～ほうがよかった|動詞辞書形＋ほうがよかった動た形＋ほうがよかった動ない形＋ほうがよかった名詞＋の＋ほうがよかったい形容詞原形＋ほうがよかったな形容詞＋な＋ほうがよかった|如果…就好了
～ほど（程）|動詞普通形＋ほどイ形普通形＋ほどナ形語幹＋な＋ほど名詞＋ほど|…得……得令人…如此的…那样的…甚至能…几乎…简直…
～ほど～ない|動詞普通形＋ほど～ない名詞＋ほど～ない|没有那么…不如…
～ほどの～ではない|動詞辞書形＋ほどの＋名詞＋ではない動ない形＋ほどの＋名詞＋ではない～ほどのことではない～ほどのものではない|并非…程度没有达到…地歩不至于…
～ましょう／ましょうか|動ます形＋ましょう動ます形＋ましょうか|（做）…吧…吧？
～ませんか|動ます形＋ませんか（動ます形＋ません？）|一起做…好吗？（你）不…吗？
～までに|名詞＋までに動詞辞書形＋までに|到…为止在…之前
～まま／ままで／ままだ|名詞＋のままな形容詞＋なままイ形容詞辞書形＋まま動た形＋まま|就那样…保持着原样…维持…的原样
～ままにする|動た形＋ままにする動ない形＋まま（に）|搁置不管放任保持原状
～回る（まわる）|動ます形＋回る|在…范围内到处…
～前に／前で|名詞＋（の）前に動詞辞書形＋前に時間名詞＋の前に|…之前…前…的前面
～みたいだ／みたいに／みたいな|動詞普通形＋みたいだい形容詞普通形＋みたいだな形容詞語幹＋みたいだ名詞＋みたいだ|"①就像…一样宛如……似的
②像…那样按照…样
③好像…就像…"
～向きだ／向きに／向きの|名詞＋向きだ名詞＋向きに＋動詞／形容詞名詞＋向きの＋名詞|适用于…面对…适合…
～向けだ／向けに／向けの|名詞＋向けだ名詞＋向けに＋動詞／形容詞名詞＋向けの＋名詞|向…面向…以…为对象把…作为对象
～もの／もん|"（だって）＋動詞普通形＋もの／もん（だって）＋動詞普通形＋のだもの／んだもの／んだもん（だって）＋動詞普通形＋のですもの／んですもの／んですもん
（だって）＋イ形容詞普通形＋もの／もん（だって）＋イ形容詞普通形＋のだもの／んだもの／んだもん（だって）＋イ形容詞普通形＋のですもの／んですもの／んですもん
（だって）＋ナ形容詞語幹＋だもの／だもん（だって）＋ナ形容詞語幹＋なのだもの／なんだもの／なんだもん（だって）＋ナ形容詞語幹＋なのですもの／なんですもの／なんですもん
（だって）＋名詞＋だもの／だもん（だって）＋名詞＋ですもの／ですもん（だって）＋名詞＋なのだもの／なんだもの／なんだもん（だって）＋名詞＋なのですもの／なんですもの／なんですもん"|因为…（嘛）由于…
～もらう／頂く（いただく）|[主語（受け手）] は [与え手] に [物] をもらう[主語（受け手）] は [与え手] から [物] をもらう|得到…
～やすい（易い）|動ます形＋やすい|容易…易于…好…
～やら～やら|名詞＋やら動詞辞書形＋やらい形容詞辞書形＋やら|…啦…啦又是…又是…一会儿…一会儿…
～止む（やむ）|動ます形＋止む|不…停了
～（よ）うとしない／（よ）うとはしない／（よ）うともしない|動意向形＋としない動意向形＋とはしない動意向形＋ともしない|不想…不打算…没有…的打算都不…
～（よ）うとする／（よ）うとした／（よ）うとしている|動詞意向形＋とする|想要…即将…就要…
～（よ）うと思う|動意向形＋と思う動意向形＋かと思う|打算…想要…想…
～よい／いい|動ます形＋よい動ます形＋いい|容易…易于…
～ようがない／ようもない／ようのない|動ます形＋ようがない動ます形＋ようもない動ます形＋ようのない＋名詞動きを表す名詞＋のしようがない動きを表す名詞＋のしようのない＋名詞|没有办法…无法…～の方法がない（どうしようもない）
～ようでもあり～／～ようでもあるし～／～ような～ような|動詞普通形＋よう～い形容詞普通形＋よう～な形容詞語幹＋な＋よう～名詞＋の＋よう～|既是…又是…一样（似的）又…又…一样又像…又像…
～ような気がする／ような感じがする／ように思う／ように感じる|名詞＋の／である＋ような～な形容詞語幹＋な／である＋ような～い形容詞普通形＋ような～動詞普通形＋ような～|感觉像…感觉好像是（有）…仿佛…似乎…
～ように／ないように|動詞辞書形＋よう（に）動ない形＋よう（に）動詞可能形＋よう（に）動ます形＋ますように／ませんように|为了…要…请…希望能…
～ようにする／ないようにする|動詞辞書形＋ようにする動ない形＋ないようにする|努力做到…要做到…设法做到…
～ようになる／ないようになる|動詞辞書形＋ようになる動ない形＋ないようになる動詞可能形＋ようになる|变得…逐渐会…就能…
～らしい|動詞普通形＋らしいい形容詞普通形＋らしいな形容詞語幹＋らしい名詞＋らしい|"①好像…似乎…
②像…似的地道的…像样的…有…风度的典型的"
～（る）つもりではない|動詞辞書形＋つもりではない動ている形＋つもりではない|并不是有意要…
～（る）ところだ|動詞辞書形＋ところ動意向形＋というところ／ってところ|正要…正想…正打算…
～（る）上で|動詞辞書形＋上で|在…时在…方面
～れる／られる／される（自発態）|五段動詞のない形＋れる一段動詞のない形＋られる|不由得…
～れる／られる／される（受身／受動態）|五段動詞のない形＋れる一段動詞のない形＋られるする→される来る→来られる|被…受到…
～れる／られる／される（尊敬）|五段動詞のない形＋れる一段動詞のない形＋られるする→される来る→来られる|-
～れる／られる／できる（可能態）|五段動詞語尾のエ段＋る一段動詞ない形＋られるする→できる来る→来られる|能…会…可以…
～わけ|動詞普通形＋（という）わけい形容詞普通形＋（という）わけな形容詞語幹＋な／である／という＋わけ名詞＋な／である／という＋わけ|因为…当然…自然…就是…都是…应该是…也就是说换句话说肯定所以怪不得原来如此
～わけがない／わけはない|動詞普通形＋わけがないい形容詞普通形＋わけがないな形容詞語幹＋な／である＋わけがない名詞＋な／である＋わけがない|不可能…不会…
～わけではない／わけでもない／というわけではない／というわけでもない|動詞普通形＋（という）わけではないい形容詞普通形＋（という）わけではないな形容詞語幹＋な／である／という＋わけではない名詞＋な／である／という＋わけではない|并不是…并非…并不是说…并不是因为…
～わけにはいかない／ないわけにはいかない|動詞辞書形＋わけにはいかない動ない形＋ないわけにはいかない|不能…不可以…不能不…不可不…必须…
～わりに／わりには|動詞普通形＋わりに（は）い形容詞普通形＋わりに（は）な形容詞語幹＋な／である＋わりに（は）名詞＋の／である＋わりに（は）|（比较起来）虽然…但是…比起…虽然不…但是…
～を下さい（ください）／をちょうだい／をくれ|名詞＋を下さい|给我…我要…
～を始め／を始めとして／を始めとする|名詞＋を始め（として）名詞＋を始めとする＋名詞|以…为首以…为代表以及从…到…
～を中心にして／を中心に／を中心として|名詞＋を中心に（して）名詞＋を中心として|以…为重点把…作为重点以…为中心围绕着…
～を込めて／を込めた／がこもった／のこもった|名詞＋を込めて名詞＋を込めた＋名詞名詞＋がこもった＋名詞名詞＋のこもった＋名詞|充满…怀着…集中倾注
～んだって／んですって／～って|動詞普通形＋（ん）だって／（ん）ですってい形容詞普通形＋（ん）だって／（ん）ですって名詞＋（なん）だって／（なん）ですってな形容詞＋（なん）だって／（なん）ですって|听说…根说…好像…
～ておる／ております|動て形＋ている動て形＋ておる|正…着／正在…已经…了以前…／曾经…
～によって／によっては／により／による|名詞＋によって／によっては／により／による|【根拠】の用法（根据…／依据…／通过…）
～によって／によっては／により／による|名詞＋によって／によっては／により／による|【手段】の用法（通过…／凭借…／靠…）
～によって／によっては／により／による|名詞＋によって／によっては／により／による|【原因】の用法（因为…而…／由于…原因）
～によって／によっては／により／による|名詞＋によって／によっては／により／による|【受身文に対応する能動文の動作主】の用法（被…／由…）
～によって／によっては／により／による|名詞＋によって／によっては／により／による|異なる状況で異なる結果】の用法（因…／根据…（而不同））
～によって／によっては／により／による|名詞＋によって／によっては／により／による|【動作の主体】の用法
～てくる|動て形＋くる|移動時の状態（…着来）
～てくる|動て形＋くる|順次的動作（…来）
～てくる|動て形＋くる|動作の継続（過去から現在まで）（一直…下来）
～てくる|動て形＋くる|少しずつ近づく（…来）
～てくる|動て形＋くる|状態変化の開始（…起来／…了）
～てくる|動て形＋くる|出現（…出来）
～てくる|動て形＋くる|こちらへの一方的な動作（…来／…过来）
～ていく|動て形＋いく|移動時の状態（…着去／…去）
～ていく|動て形＋いく|順次的動作（…了再去）
～ていく|動て形＋いく|動作の継続（未来へ）（…下去）
～ていく|動て形＋いく|少しずつ遠ざかる（逐渐远去）
～ていく|動て形＋いく|状態変化の進展（…下去）
～ていく|動て形＋いく|消失（消失不见）
～ていく|動て形＋いく|こちらからの一方的な動作（…去／…过去）
